,timestamp_ns,pres_mb
12468,1667977200000000000,1002.2916870117188
12469,1667977500000000000,1002.4000244140625
12470,1667977800000000000,1002.5166880289713
12471,1667978100000000000,1002.6333516438802
12472,1667978400000000000,1002.7500152587891
12473,1667978700000000000,1002.8666788736979
12474,1667979000000000000,1002.9833424886068
12475,1667979300000000000,1003.1000061035156
12476,1667979600000000000,1003.2166697184244
12477,1667979900000000000,1003.3333333333334
12478,1667980200000000000,1003.4499969482422
12479,1667980500000000000,1003.566660563151
12480,1667980800000000000,1003.6833241780599
12481,1667981100000000000,1003.7999877929688
12482,1667981400000000000,1003.9083201090494
12483,1667981700000000000,1004.0166524251302
12484,1667982000000000000,1004.1249847412109
12485,1667982300000000000,1004.2333170572916
12486,1667982600000000000,1004.3416493733724
12487,1667982900000000000,1004.4499816894531
12488,1667983200000000000,1004.5583140055338
12489,1667983500000000000,1004.6666463216146
12490,1667983800000000000,1004.7749786376953
12491,1667984100000000000,1004.883310953776
12492,1667984400000000000,1004.9916432698568
12493,1667984700000000000,1005.0999755859375
12494,1667985000000000000,1005.1916453043619
12495,1667985300000000000,1005.2833150227865
12496,1667985600000000000,1005.3749847412109
12497,1667985900000000000,1005.4666544596354
12498,1667986200000000000,1005.5583241780599
12499,1667986500000000000,1005.6499938964844
12500,1667986800000000000,1005.7416636149088
12501,1667987100000000000,1005.8333333333334
12502,1667987400000000000,1005.9250030517578
12503,1667987700000000000,1006.0166727701823
12504,1667988000000000000,1006.1083424886068
12505,1667988300000000000,1006.2000122070312
12506,1667988600000000000,1006.2916768391927
12507,1667988900000000000,1006.3833414713541
12508,1667989200000000000,1006.4750061035156
12509,1667989500000000000,1006.5666707356771
12510,1667989800000000000,1006.6583353678385
12511,1667990100000000000,1006.75
12512,1667990400000000000,1006.8416646321615
12513,1667990700000000000,1006.9333292643229
12514,1667991000000000000,1007.0249938964844
12515,1667991300000000000,1007.1166585286459
12516,1667991600000000000,1007.2083231608073
12517,1667991900000000000,1007.2999877929688
12518,1667992200000000000,1007.3416544596354
12519,1667992500000000000,1007.3833211263021
12520,1667992800000000000,1007.4249877929688
12521,1667993100000000000,1007.4666544596354
12522,1667993400000000000,1007.5083211263021
12523,1667993700000000000,1007.5499877929688
12524,1667994000000000000,1007.5916544596354
12525,1667994300000000000,1007.6333211263021
12526,1667994600000000000,1007.6749877929688
12527,1667994900000000000,1007.7166544596354
12528,1667995200000000000,1007.7583211263021
12529,1667995500000000000,1007.7999877929688
12530,1667995800000000000,1007.8333231608073
12531,1667996100000000000,1007.8666585286459
12532,1667996400000000000,1007.8999938964844
12533,1667996700000000000,1007.9333292643229
12534,1667997000000000000,1007.9666646321615
12535,1667997300000000000,1008.0
12536,1667997600000000000,1008.0333353678385
12537,1667997900000000000,1008.0666707356771
12538,1667998200000000000,1008.1000061035156
12539,1667998500000000000,1008.1333414713541
12540,1667998800000000000,1008.1666768391927
12541,1667999100000000000,1008.2000122070312
12542,1667999400000000000,1008.2333424886068
12543,1667999700000000000,1008.2666727701823
12544,1668000000000000000,1008.3000030517578
12545,1668000300000000000,1008.3333333333334
12546,1668000600000000000,1008.3666636149088
12547,1668000900000000000,1008.3999938964844
12548,1668001200000000000,1008.4333241780599
12549,1668001500000000000,1008.4666544596354
12550,1668001800000000000,1008.4999847412109
12551,1668002100000000000,1008.5333150227865
12552,1668002400000000000,1008.5666453043619
12553,1668002700000000000,1008.5999755859375
12554,1668003000000000000,1008.6666463216146
12555,1668003300000000000,1008.7333170572916
12556,1668003600000000000,1008.7999877929688
12557,1668003900000000000,1008.8666585286459
12558,1668004200000000000,1008.9333292643229
12559,1668004500000000000,1009.0
12560,1668004800000000000,1009.0666707356771
12561,1668005100000000000,1009.1333414713541
12562,1668005400000000000,1009.2000122070312
12563,1668005700000000000,1009.2666829427084
12564,1668006000000000000,1009.3333536783854
12565,1668006300000000000,1009.4000244140625
12566,1668006600000000000,1009.4666900634766
12567,1668006900000000000,1009.5333557128906
12568,1668007200000000000,1009.6000213623047
12569,1668007500000000000,1009.6666870117188
12570,1668007800000000000,1009.7333526611328
12571,1668008100000000000,1009.8000183105469
12572,1668008400000000000,1009.8666839599609
12573,1668008700000000000,1009.933349609375
12574,1668009000000000000,1010.0000152587891
12575,1668009300000000000,1010.0666809082031
12576,1668009600000000000,1010.1333465576172
12577,1668009900000000000,1010.2000122070312
12578,1668010200000000000,1010.2750091552734
12579,1668010500000000000,1010.3500061035156
12580,1668010800000000000,1010.4250030517578
12581,1668011100000000000,1010.5
12582,1668011400000000000,1010.5749969482422
12583,1668011700000000000,1010.6499938964844
12584,1668012000000000000,1010.7249908447266
12585,1668012300000000000,1010.7999877929688
12586,1668012600000000000,1010.8749847412109
12587,1668012900000000000,1010.9499816894531
12588,1668013200000000000,1011.0249786376953
12589,1668013500000000000,1011.0999755859375
12590,1668013800000000000,1011.1916453043619
12591,1668014100000000000,1011.2833150227865
12592,1668014400000000000,1011.3749847412109
12593,1668014700000000000,1011.4666544596354
12594,1668015000000000000,1011.5583241780599
12595,1668015300000000000,1011.6499938964844
12596,1668015600000000000,1011.7416636149088
12597,1668015900000000000,1011.8333333333334
12598,1668016200000000000,1011.9250030517578
12599,1668016500000000000,1012.0166727701823
12600,1668016800000000000,1012.1083424886068
12601,1668017100000000000,1012.2000122070312
12602,1668017400000000000,1012.2833455403646
12603,1668017700000000000,1012.3666788736979
12604,1668018000000000000,1012.4500122070312
12605,1668018300000000000,1012.5333455403646
12606,1668018600000000000,1012.6166788736979
12607,1668018900000000000,1012.7000122070312
12608,1668019200000000000,1012.7833455403646
12609,1668019500000000000,1012.8666788736979
12610,1668019800000000000,1012.9500122070312
12611,1668020100000000000,1013.0333455403646
12612,1668020400000000000,1013.1166788736979
12613,1668020700000000000,1013.2000122070312
12614,1668021000000000000,1013.2250111897787
12615,1668021300000000000,1013.250010172526
12616,1668021600000000000,1013.2750091552734
12617,1668021900000000000,1013.3000081380209
12618,1668022200000000000,1013.3250071207682
12619,1668022500000000000,1013.3500061035156
12620,1668022800000000000,1013.3750050862631
12621,1668023100000000000,1013.4000040690104
12622,1668023400000000000,1013.4250030517578
12623,1668023700000000000,1013.4500020345052
12624,1668024000000000000,1013.4750010172526
12625,1668024300000000000,1013.5
12626,1668024600000000000,1013.6000010172526
12627,1668024900000000000,1013.7000020345052
12628,1668025200000000000,1013.8000030517578
12629,1668025500000000000,1013.9000040690104
12630,1668025800000000000,1014.0000050862631
12631,1668026100000000000,1014.1000061035156
12632,1668026400000000000,1014.2000071207682
12633,1668026700000000000,1014.3000081380209
12634,1668027000000000000,1014.4000091552734
12635,1668027300000000000,1014.500010172526
12636,1668027600000000000,1014.6000111897787
12637,1668027900000000000,1014.7000122070312
12638,1668028200000000000,1014.7333424886068
12639,1668028500000000000,1014.7666727701823
12640,1668028800000000000,1014.8000030517578
12641,1668029100000000000,1014.8333333333334
12642,1668029400000000000,1014.8666636149088
12643,1668029700000000000,1014.8999938964844
12644,1668030000000000000,1014.9333241780599
12645,1668030300000000000,1014.9666544596354
12646,1668030600000000000,1014.9999847412109
12647,1668030900000000000,1015.0333150227865
12648,1668031200000000000,1015.0666453043619
12649,1668031500000000000,1015.0999755859375
12650,1668031800000000000,1015.0999755859375
12651,1668032100000000000,1015.0999755859375
12652,1668032400000000000,1015.0999755859375
12653,1668032700000000000,1015.0999755859375
12654,1668033000000000000,1015.0999755859375
12655,1668033300000000000,1015.0999755859375
12656,1668033600000000000,1015.0999755859375
12657,1668033900000000000,1015.0999755859375
12658,1668034200000000000,1015.0999755859375
12659,1668034500000000000,1015.0999755859375
12660,1668034800000000000,1015.0999755859375
12661,1668035100000000000,1015.0999755859375
12662,1668035400000000000,1015.1416422526041
12663,1668035700000000000,1015.1833089192709
12664,1668036000000000000,1015.2249755859375
12665,1668036300000000000,1015.2666422526041
12666,1668036600000000000,1015.3083089192709
12667,1668036900000000000,1015.3499755859375
12668,1668037200000000000,1015.3916422526041
12669,1668037500000000000,1015.4333089192709
12670,1668037800000000000,1015.4749755859375
12671,1668038100000000000,1015.5166422526041
12672,1668038400000000000,1015.5583089192709
12673,1668038700000000000,1015.5999755859375
12674,1668039000000000000,1015.6416422526041
12675,1668039300000000000,1015.6833089192709
12676,1668039600000000000,1015.7249755859375
12677,1668039900000000000,1015.7666422526041
12678,1668040200000000000,1015.8083089192709
12679,1668040500000000000,1015.8499755859375
12680,1668040800000000000,1015.8916422526041
12681,1668041100000000000,1015.9333089192709
12682,1668041400000000000,1015.9749755859375
12683,1668041700000000000,1016.0166422526041
12684,1668042000000000000,1016.0583089192709
12685,1668042300000000000,1016.0999755859375
12686,1668042600000000000,1016.1249796549479
12687,1668042900000000000,1016.1499837239584
12688,1668043200000000000,1016.1749877929688
12689,1668043500000000000,1016.1999918619791
12690,1668043800000000000,1016.2249959309896
12691,1668044100000000000,1016.25
12692,1668044400000000000,1016.2750040690104
12693,1668044700000000000,1016.3000081380209
12694,1668045000000000000,1016.3250122070312
12695,1668045300000000000,1016.3500162760416
12696,1668045600000000000,1016.3750203450521
12697,1668045900000000000,1016.4000244140625
12698,1668046200000000000,1016.4363847212358
12699,1668046500000000000,1016.4727450284091
12700,1668046800000000000,1016.5091053355824
12701,1668047100000000000,1016.5454656427556
12702,1668047400000000000,1016.581825949929
12703,1668047700000000000,1016.6181862571023
12704,1668048000000000000,1016.6545465642756
12705,1668048300000000000,1016.6909068714489
12706,1668048600000000000,1016.7272671786221
12707,1668048900000000000,1016.7636274857955
12708,1668049200000000000,1016.7999877929688
12709,1668049500000000000,1016.8076829176682
12710,1668049800000000000,1016.8153780423678
12711,1668050100000000000,1016.8230731670673
12712,1668050400000000000,1016.8307682917668
12713,1668050700000000000,1016.8384634164663
12714,1668051000000000000,1016.8461585411659
12715,1668051300000000000,1016.8538536658654
12716,1668051600000000000,1016.8615487905649
12717,1668051900000000000,1016.8692439152644
12718,1668052200000000000,1016.876939039964
12719,1668052500000000000,1016.8846341646635
12720,1668052800000000000,1016.892329289363
12721,1668053100000000000,1016.9000244140625
12722,1668053400000000000,1016.9583536783854
12723,1668053700000000000,1017.0166829427084
12724,1668054000000000000,1017.0750122070312
12725,1668054300000000000,1017.1333414713541
12726,1668054600000000000,1017.1916707356771
12727,1668054900000000000,1017.25
12728,1668055200000000000,1017.3083292643229
12729,1668055500000000000,1017.3666585286459
12730,1668055800000000000,1017.4249877929688
12731,1668056100000000000,1017.4833170572916
12732,1668056400000000000,1017.5416463216146
12733,1668056700000000000,1017.5999755859375
12734,1668057000000000000,1017.6416422526041
12735,1668057300000000000,1017.6833089192709
12736,1668057600000000000,1017.7249755859375
12737,1668057900000000000,1017.7666422526041
12738,1668058200000000000,1017.8083089192709
12739,1668058500000000000,1017.8499755859375
12740,1668058800000000000,1017.8916422526041
12741,1668059100000000000,1017.9333089192709
12742,1668059400000000000,1017.9749755859375
12743,1668059700000000000,1018.0166422526041
12744,1668060000000000000,1018.0583089192709
12745,1668060300000000000,1018.0999755859375
12746,1668060600000000000,1018.1249796549479
12747,1668060900000000000,1018.1499837239584
12748,1668061200000000000,1018.1749877929688
12749,1668061500000000000,1018.1999918619791
12750,1668061800000000000,1018.2249959309896
12751,1668062100000000000,1018.25
12752,1668062400000000000,1018.2750040690104
12753,1668062700000000000,1018.3000081380209
12754,1668063000000000000,1018.3250122070312
12755,1668063300000000000,1018.3500162760416
12756,1668063600000000000,1018.3750203450521
12757,1668063900000000000,1018.4000244140625
12758,1668064200000000000,1018.4416910807291
12759,1668064500000000000,1018.4833577473959
12760,1668064800000000000,1018.5250244140625
12761,1668065100000000000,1018.5666910807291
12762,1668065400000000000,1018.6083577473959
12763,1668065700000000000,1018.6500244140625
12764,1668066000000000000,1018.6916910807291
12765,1668066300000000000,1018.7333577473959
12766,1668066600000000000,1018.7750244140625
12767,1668066900000000000,1018.8166910807291
12768,1668067200000000000,1018.8583577473959
12769,1668067500000000000,1018.9000244140625
12770,1668067800000000000,1018.9500223795573
